1,id,pid,lot_subclass,lot_frontage,lot_area,house_qual,house_cond,year_built,year_remodel,wall_area,bsmt_type1_area,bsmt_type2_area,bsmt_unfinish_area,bsmt_total_area,floor_1_area,floor_2_area,floor_lowqual_total_area,ground_total_area,bath_full_bsmt_num,bath_half_bsmt_num,bath_full_bsmt_num,bath_full_ground_num,bath_half_ground_num,kitchen_num,rooms_num,fireplace_num,garage_year,garage_car_num,garage_area,wooddeck_area,porch_open_area,porch_enclosed_area,porch_3season_area,porch_screen_area,pool_area,misc_value,sold_month,sold_year,sale_price
id,1.0,0.1754776131643119,0.0269051182726308,-0.027317718256141068,0.031632516734895,-0.06287639029729082,-0.025887888121844543,-0.06501045529649045,-0.09061323688325497,-0.038765202971829914,-0.05162886445479786,0.0008463237008722705,0.008086859296045025,-0.04450116404923081,-0.02808186424666258,-0.00809936760220394,0.011766568061550088,-0.02777109987518988,-0.03396819000990112,0.012909201019593962,-0.05943920628490294,-0.042625272861559885,0.01102467889306273,-0.0023133751248885152,-0.01151113229256606,-0.03870485152255038,-0.05130220426245123,-0.049365201480930945,-0.0468969656164941,-0.01053296664209567,-0.0013637736624550535,0.03391529398728803,-0.022751048842928574,0.0098820015573331,0.057847376832643585,-0.03270521870788854,0.12738113016046937,-0.9757650415738743,-0.05141591008042224
pid,0.1754776131643119,1.0,-0.0032345668266595073,-0.10263724657319491,0.018315351890869438,-0.2697277477628843,0.10744294582754511,-0.34867718928136615,-0.17803872436029952,-0.25700134638322514,-0.10087303557348365,-0.012858290866765952,-0.11184784382961334,-0.22582490022311974,-0.16261962645478573,-0.005949213663839363,0.072414691752506,-0.12449089086784479,-0.03272284211623434,-0.003710240917359305,-0.18029052085949374,-0.165452649619524,0.009548198046101374,0.068658765316173,-0.09055675789258953,-0.12436666429105435,-0.25284940577298537,-0.22958905880689184,-0.20625866466135673,-0.0436262250733668,-0.08751850988144444,0.1506474600530002,-0.02458802864809677,-0.041763139811921875,-0.0005291406148217536,-0.014021120344052666,-0.03253203537121415,0.008693165785426804,-0.2550677085231337
lot_subclass,0.0269051182726308,-0.0032345668266595073,1.0,-0.40284665854657636,-0.24903860880978182,0.03696164173739986,-0.07036029191213618,0.03648161032992151,0.045332956157156386,-0.0014600894286501433,-0.0608243799904734,-0.06839344009116717,-0.139485752710554,-0.23486046353834422,-0.2536139190156025,0.30565467037677085,0.031055205790506052,0.07315107570099824,0.0254853978421921,-0.015725205909946863,0.14245332434458702,0.18006230797844353,-0.00395497875980213,0.25208309238924503,0.03708084794394282,-0.05458007197469528,0.08548510116898508,-0.04852357124916904,-0.10783545822258091,0.0030839421853066096,-0.017906041699438217,-0.03999843214884073,-0.030133412440221736,-0.03893959285175276,-0.005250210377667506,-0.01983022910477039,0.013693483149123517,-0.03313389658322551,-0.08733120857793228
lot_frontage,-0.027317718256141068,-0.10263724657319491,-0.40284665854657636,1.0,0.5414876162381874,0.1815751694066734,-0.05240473888254581,0.10424864067621048,0.07942791011759483,0.19407234187154368,0.1474423070869112,0.040310114650196086,0.13220403622067203,0.30426376898411456,0.43215324528033866,0.0058786026076063595,0.0005598987097088603,0.34630592036962843,0.09470680847773165,-0.036205359814191006,0.15207726667075616,0.0269286537490646,0.2285767091077232,0.018031769621770933,0.34901759960245116,0.23546997133952793,0.061221372208913466,0.3035422169944124,0.34237152039486485,0.10774865186955068,0.16115522271877372,-0.0004141869850373199,0.033767753894374614,0.07973660120721929,0.08537848933529604,0.013633637246672608,-0.008145876207105543,0.009274598354408976,0.35552980246085186
lot_area,0.031632516734895,0.018315351890869438,-0.24903860880978182,0.5414876162381874,1.0,0.09162125627501805,-0.016460800226802925,0.02938820669238836,0.04480396458742844,0.1449792966496981,0.16607431317549456,0.0443702419019524,0.04044967258470601,0.23076670391076723,0.3481232249740741,0.02589767411610835,0.0019619706400288133,0.2945424889042583,0.10438234338194691,0.023591513659568592,0.12352150486410889,0.043360051313083056,0.14343846508118732,-0.012508878893086021,0.219947022685989,0.27699709901747716,-0.0023312641901745367,0.2149355609185667,0.24630793424105463,0.14801425707745164,0.11670147793369715,0.016749020444697366,0.020589418680622557,0.07088985741658385,0.07013841353044838,0.04271041844264655,0.007862714218787889,-0.029471010929131913,0.3037440460663828
house_qual,-0.06287639029729082,-0.2697277477628843,0.03696164173739986,0.1815751694066734,0.09162125627501805,1.0,-0.08172286114658996,0.6023757729772353,0.5840803169819984,0.4323452179780328,0.2668286186606729,-0.027525697767464077,0.27562547807191273,0.5523972339769847,0.47478295433119927,0.22822194881850488,-0.05224060497718223,0.5649331777909486,0.17075245376262407,-0.05230601499721195,0.515052147833308,0.27271733615133337,0.05469196287514476,-0.17104445897197493,0.3752677960925861,0.3841465208050754,0.5739088831323781,0.5874173570007717,0.5598043000754396,0.2528897822499271,0.30050389796251187,-0.1541204209146124,0.0323288265720285,0.04970091824315195,-0.010642782263762474,-0.022691673301613837,0.020040355370727236,-0.01105995581878505,0.8034623524018427
house_cond,-0.025887888121844543,0.10744294582754511,-0.07036029191213618,-0.05240473888254581,-0.016460800226802925,-0.08172286114658996,1.0,-0.37069920372590326,0.043222523855864704,-0.13517747735264088,-0.04306535175061355,0.04767406993194246,-0.1303502118663562,-0.16205328130579377,-0.153063514770784,0.0110913043309514,0.004700032950284955,-0.10922691246295359,-0.038194619697517966,0.10154334780969182,-0.21889758497141254,-0.09272504626100855,-0.010118930043828933,-0.09584097876657967,-0.09230783298763538,-0.005000845044216572,-0.3314013859226334,-0.16817218282867172,-0.13704046678638804,0.01218180884807184,-0.05043351145255347,0.10815338750233473,0.0268598581776074,0.04722373624592376,-0.002792048981745757,0.028513112354963913,-0.0032787677551540948,0.04757027976399545,-0.09709281151955167
year_built,-0.06501045529649045,-0.34867718928136615,0.03648161032992151,0.10424864067621048,0.02938820669238836,0.6023757729772353,-0.37069920372590326,1.0,0.6286132076811835,0.3284005697859621,0.27744011499768223,-0.020705404707731377,0.13625628465449394,0.42049260633502417,0.3269768266229296,0.021941599434401497,-0.15938987966194298,0.2576050445476584,0.21347532522806614,-0.033639219885824266,0.4797432291716399,0.28214872591104967,-0.04170141662838449,-0.12701426585210476,0.13396844476550177,0.16623123882233465,0.8250703392049216,0.542165165588449,0.48656446247883745,0.21457069995221495,0.20477831271477537,-0.37993426770164823,0.016236563601447287,-0.037555710342999385,-0.0038112540455110706,-0.022036153856276552,-0.006788995094695534,-0.00331511203712493,0.5724050297123932
year_remodel,-0.09061323688325497,-0.17803872436029952,0.045332956157156386,0.07942791011759483,0.04480396458742844,0.5840803169819984,0.043222523855864704,0.6286132076811835,1.0,0.20852705410685746,0.16375218761779373,-0.0568740683231107,0.15968118621339256,0.31363670707617597,0.24455093054797472,0.1594550590562139,-0.06649887937950222,0.3235323471982053,0.15169133063838472,-0.04009022281939248,0.4711299797473842,0.2230068606622176,-0.01928260858298114,-0.13578702119185732,0.19949173304932336,0.13622740453376597,0.6735815059145437,0.44128599319782086,0.39785618381037186,0.21456335834686757,0.2624797312233835,-0.2372688935071514,0.040558905853848706,-0.04091427842386581,-0.03056697515658284,-0.02467508889465372,0.01184961990368434,0.04302251622185912,0.5508715191778374
wall_area,-0.038765202971829914,-0.25700134638322514,-0.0014600894286501433,0.19407234187154368,0.1449792966496981,0.4323452179780328,-0.13517747735264088,0.3284005697859621,0.20852705410685746,1.0,0.29289556970724495,-0.015478193702989137,0.08381123187100871,0.38326170547448396,0.36361500456838,0.1016574819574077,-0.06220447517635206,0.36481545121579384,0.14101522642207465,-0.0010381720662946661,0.23949527292658068,0.18901460580517945,0.058297589132026005,-0.0706321764805986,0.255277813616265,0.2595786741576025,0.2644210019307398,0.36090279507644285,0.37409592269799036,0.1533047119038652,0.13931073568709,-0.1066861128132132,0.011859673571118317,0.08939023040681708,-0.012761438323198275,-0.018527718435444065,-0.002158609477064554,-0.01741927811013749,0.5200230606305775
